FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
1670,637,Noise - Street/Sidewalk,40.76926719,-73.98296345,11PM,Lincoln Square
1730,1432,Noise - Street/Sidewalk,40.77823422,-73.98277701,12AM,Lincoln Square
1747,1764,Noise - Street/Sidewalk,40.77860733,-73.98162149,12PM,Lincoln Square
1776,2561,Noise - Street/Sidewalk,40.7709357,-73.98107845,5PM,Lincoln Square
1778,2756,Noise - Street/Sidewalk,40.77436936,-73.98102332,3PM,Lincoln Square
1782,2849,Noise - Street/Sidewalk,40.77860733,-73.98162149,1PM,Lincoln Square
1785,2881,Noise - Street/Sidewalk,40.77829725,-73.98210541,2PM,Lincoln Square
1786,2908,Noise - Street/Sidewalk,40.77929069,-73.98113385,12PM,Lincoln Square
1802,3768,Noise - Street/Sidewalk,40.77730373,-73.98258228,10PM,Lincoln Square
1807,3808,Noise - Street/Sidewalk,40.77822841,-73.98070809,2PM,Lincoln Square
1819,32,Noise - Street/Sidewalk,40.74620321,-73.98370558,1AM,Midtown-Midtown South
1824,183,Noise - Street/Sidewalk,40.74908894,-73.99394391,11PM,Midtown-Midtown South
1825,220,Noise - Street/Sidewalk,40.74828977,-73.9881767,5PM,Midtown-Midtown South
1827,263,Noise - Street/Sidewalk,40.76128017,-73.98416755,2PM,Midtown-Midtown South
1828,295,Noise - Street/Sidewalk,40.7469582,-73.98505876,11PM,Midtown-Midtown South
1830,384,Noise - Street/Sidewalk,40.75665437,-73.97856667,2PM,Midtown-Midtown South
1832,453,Noise - Street/Sidewalk,40.75603139,-73.97902528,12PM,Midtown-Midtown South
1836,584,Noise - Street/Sidewalk,40.75979023,-73.98792559,12AM,Midtown-Midtown South
1837,608,Noise - Street/Sidewalk,40.75997365,-73.98406679,6PM,Midtown-Midtown South
1843,695,Noise - Street/Sidewalk,40.75997365,-73.98406679,8AM,Midtown-Midtown South
1847,751,Noise - Street/Sidewalk,40.76079439,-73.98451059,10AM,Midtown-Midtown South
1848,757,Noise - Street/Sidewalk,40.76011649,-73.98483562,12PM,Midtown-Midtown South
1850,838,Noise - Street/Sidewalk,40.76041961,-73.97582929,1PM,Midtown-Midtown South
1852,879,Noise - Street/Sidewalk,40.75603139,-73.97902528,5PM,Midtown-Midtown South
1856,962,Noise - Street/Sidewalk,40.7516379,-73.98433587,1PM,Midtown-Midtown South
1858,971,Noise - Street/Sidewalk,40.76017675,-73.98394401,8AM,Midtown-Midtown South
1859,981,Noise - Street/Sidewalk,40.75997365,-73.98406679,11PM,Midtown-Midtown South
1862,1036,Noise - Street/Sidewalk,40.75997365,-73.98406679,8AM,Midtown-Midtown South
1863,1037,Noise - Street/Sidewalk,40.76296785,-73.98189293,1AM,Midtown-Midtown South
1867,1128,Noise - Street/Sidewalk,40.7516379,-73.98433587,1PM,Midtown-Midtown South
1868,1149,Noise - Street/Sidewalk,40.75997365,-73.98406679,8AM,Midtown-Midtown South
1870,1156,Noise - Street/Sidewalk,40.75997365,-73.98406679,8AM,Midtown-Midtown South
1871,1175,Noise - Street/Sidewalk,40.74967088,-73.99529729,6PM,Midtown-Midtown South
1878,1329,Noise - Street/Sidewalk,40.75997365,-73.98406679,10AM,Midtown-Midtown South
1900,1825,Noise - Street/Sidewalk,40.75997365,-73.98406679,12AM,Midtown-Midtown South
1902,1835,Noise - Street/Sidewalk,40.75997365,-73.98406679,8AM,Midtown-Midtown South
1927,2495,Noise - Street/Sidewalk,40.76079439,-73.98451059,12PM,Midtown-Midtown South
1936,2597,Noise - Street/Sidewalk,40.76001757,-73.9840379,9AM,Midtown-Midtown South
1937,2598,Noise - Street/Sidewalk,40.74818829,-73.98896349,3AM,Midtown-Midtown South
1939,2626,Noise - Street/Sidewalk,40.75064724,-73.98579782,2PM,Midtown-Midtown South
1942,2640,Noise - Street/Sidewalk,40.75064724,-73.98579782,3PM,Midtown-Midtown South
1943,2641,Noise - Street/Sidewalk,40.74663501,-73.99194116,10AM,Midtown-Midtown South
1949,2702,Noise - Street/Sidewalk,40.76010264,-73.9839729,2PM,Midtown-Midtown South
1956,2774,Noise - Street/Sidewalk,40.7539237,-73.98057436,2PM,Midtown-Midtown South
1958,2781,Noise - Street/Sidewalk,40.75415423,-73.98039383,2PM,Midtown-Midtown South
1960,2801,Noise - Street/Sidewalk,40.75415423,-73.98039383,2PM,Midtown-Midtown South
1962,2832,Noise - Street/Sidewalk,40.76444374,-73.97745952,12PM,Midtown-Midtown South
1964,2852,Noise - Street/Sidewalk,40.75992974,-73.98409929,8AM,Midtown-Midtown South
1970,2928,Noise - Street/Sidewalk,40.76452119,-73.98077343,1AM,Midtown-Midtown South
1971,2954,Noise - Street/Sidewalk,40.75728557,-73.97811528,6PM,Midtown-Midtown South
1973,3017,Noise - Street/Sidewalk,40.74675749,-73.98264079,1PM,Midtown-Midtown South
1976,3051,Noise - Street/Sidewalk,40.75992974,-73.98409929,10AM,Midtown-Midtown South
1992,3336,Noise - Street/Sidewalk,40.74644833,-73.99146479,9AM,Midtown-Midtown South
1996,3385,Noise - Street/Sidewalk,40.74648127,-73.99154419,9AM,Midtown-Midtown South
2001,3436,Noise - Street/Sidewalk,40.75992974,-73.98409929,7AM,Midtown-Midtown South
2006,3536,Noise - Street/Sidewalk,40.75992974,-73.98409929,9AM,Midtown-Midtown South
